date,vis,hom,vis_score,hom_score,line,tag
20001126,TEN,JAX,13,16,-3,0.0
20001127,GNB,CAR,14,31,0,0.0
20001130,DET,MIN,17,24,9,1.0
20001203,ARI,CIN,13,24,4,0.0
20001203,CLE,JAX,0,48,14.5,0.0
20001203,DAL,TAM,7,27,10,0.0
20001203,DEN,NOR,38,23,0,1.0
20001203,GNB,CHI,28,6,-2.5,1.0
20001203,IND,NYJ,17,27,2.5,0.0
20001203,MIA,BUF,33,6,3.5,1.0
20001203,NYG,WAS,9,7,6,1.0
20001203,OAK,PIT,20,21,-3,0.0
20001203,SEA,ATL,30,10,0,1.0
20001203,SFO,SDG,45,17,-2.5,1.0
20001203,STL,CAR,3,16,-8,0.0
20001203,TEN,PHI,15,13,-3,0.0
20001204,KAN,NWE,24,30,1,0.0
20001210,ARI,JAX,10,44,15,0.0
20001210,CAR,KAN,14,15,2.5,1.0
20001210,CIN,TEN,3,35,13,0.0
20001210,DET,GNB,13,26,3.5,0.0
20001210,MIN,STL,29,40,3.5,0.0
20001210,NOR,SFO,31,27,3,1.0
20001210,NWE,CHI,17,24,2,0.0
20001210,NYJ,OAK,7,31,3.5,0.0
20001210,PHI,CLE,35,24,-14,0.0
20001210,PIT,NYG,10,30,3.5,0.0
20001210,SDG,BAL,3,24,13.5,0.0
20001210,SEA,DEN,24,31,10,1.0
20001210,TAM,MIA,16,13,2.5,1.0
20001210,WAS,DAL,13,32,-6,0.0
20001211,BUF,IND,20,44,6,0.0
20001216,OAK,SEA,24,27,-6,0.0
20001216,WAS,PIT,3,24,-1,0.0
20001217,ATL,NOR,7,23,10,0.0
20001217,BAL,ARI,13,7,-15,0.0
20001217,CHI,SFO,0,17,6,0.0
20001217,DEN,KAN,7,20,-3,0.0
20001217,DET,NYJ,10,7,6.5,1.0
20001217,GNB,MIN,33,28,7.5,1.0
20001217,IND,MIA,20,13,3,1.0
20001217,JAX,CIN,14,17,-10.5,0.0
20001217,NWE,BUF,13,10,4.5,1.0
20001217,NYG,DAL,17,13,-6.5,0.0
20001217,SDG,CAR,22,30,8.5,1.0
20001217,TEN,CLE,24,0,-16,1.0
20001218,STL,TAM,35,38,-1,0.0
20001223,BUF,SEA,42,23,3,1.0
20001223,JAX,NYG,25,28,4,1.0
20001223,SFO,DEN,9,38,7,0.0
20001224,ARI,WAS,3,20,7,0.0
20001224,CAR,OAK,9,52,9,0.0
20001224,CHI,DET,23,20,10,1.0
20001224,CIN,PHI,7,16,10.5,1.0
20001224,KAN,ATL,13,29,-4.5,0.0
20001224,MIA,NWE,27,24,-4,0.0
20001224,MIN,IND,10,31,3,0.0
20001224,NYJ,BAL,20,34,6,0.0
20001224,PIT,SDG,34,21,-3,1.0
20001224,STL,NOR,26,21,-3.5,1.0
20001224,TAM,GNB,14,17,2.5,0.0
20001225,DAL,TEN,0,31,13.5,0.0
20010909,ATL,SFO,13,16,3.5,1.0
20010909,CAR,MIN,24,13,10,1.0
20010909,CHI,BAL,6,17,10.5,0.0
20010909,DET,GNB,6,28,5.5,0.0
20010909,IND,NYJ,45,24,-1.5,1.0
20010909,MIA,TEN,31,23,6.5,1.0
20010909,NOR,BUF,24,6,-1.5,1.0
20010909,NWE,CIN,17,23,0,0.0
20010909,OAK,KAN,27,24,-3,0.0
20010909,PIT,JAX,3,21,3,0.0
20010909,SEA,CLE,9,6,-4,0.0
20010909,STL,PHI,20,17,-3,0.0
20010909,TAM,DAL,10,6,-9,0.0
20010909,WAS,SDG,3,30,2.5,0.0
20010910,NYG,DEN,20,31,7,0.0
20010923,BAL,CIN,10,21,-7,0.0
20010923,BUF,IND,26,42,10,0.0
20010923,CAR,ATL,16,24,3.5,0.0
20010923,DEN,ARI,38,17,-8.5,1.0
20010923,DET,CLE,14,24,-1.5,0.0
20010923,MIN,CHI,10,17,-3,0.0
20010923,NYG,KAN,13,3,1.5,1.0
20010923,NYJ,NWE,10,3,-1.5,1.0
20010923,OAK,MIA,15,18,1.5,0.0
20010923,PHI,SEA,27,3,-2.5,1.0
20010923,SDG,DAL,32,21,-3.5,1.0
20010923,STL,SFO,30,26,-6,0.0
20010923,TEN,JAX,6,13,2,0.0
20010924,WAS,GNB,0,37,8.5,0.0
20010930,ATL,ARI,34,14,-3,1.0
20010930,BAL,DEN,20,13,4.5,1.0
20010930,CIN,SDG,14,28,6.5,0.0
20010930,CLE,JAX,23,14,8.5,1.0
20010930,DAL,PHI,18,40,13.5,0.0
20010930,GNB,CAR,28,7,-3.5,1.0
20010930,IND,NWE,13,44,-11.5,0.0
20010930,KAN,WAS,45,13,-3,1.0
20010930,MIA,STL,10,42,6,0.0
20010930,NOR,NYG,13,21,3,0.0
20010930,PIT,BUF,20,3,-3,1.0
20010930,SEA,OAK,14,38,10.5,0.0
20010930,TAM,MIN,16,20,-2.5,0.0
20011001,SFO,NYJ,19,17,3,1.0
20011007,ARI,PHI,21,20,14.5,1.0
20011007,CAR,SFO,14,24,6.5,0.0
20011007,CHI,ATL,31,3,3.5,1.0
20011007,CIN,PIT,7,16,5,0.0
20011007,DAL,OAK,21,28,18,1.0
20011007,GNB,TAM,10,14,3,0.0
20011007,JAX,SEA,15,24,-3.5,0.0
20011007,KAN,DEN,6,20,10,0.0
20011007,MIN,NOR,15,28,3.5,0.0
20011007,NWE,MIA,10,30,9.5,0.0
20011007,NYJ,BUF,42,36,-4.5,1.0
20011007,SDG,CLE,16,20,-3,0.0
20011007,TEN,BAL,7,26,3.5,0.0
20011007,WAS,NYG,9,23,14,0.0
20011008,STL,DET,35,0,-12.5,1.0
20011014,ARI,CHI,13,20,7,0.0
20011014,BAL,GNB,23,31,0,0.0
20011014,CLE,CIN,14,24,1.5,0.0
20011014,DEN,SEA,21,34,-6,0.0
20011014,DET,MIN,26,31,10,1.0
20011014,MIA,NYJ,17,21,-3,0.0
20011014,NOR,CAR,27,25,-5,0.0
20011014,NYG,STL,14,15,10.5,1.0
20011014,OAK,IND,23,18,3.5,1.0
20011014,PIT,KAN,20,17,2.5,1.0
20011014,SDG,NWE,26,29,-3,0.0
20011014,SFO,ATL,37,31,-3,1.0
20011014,TAM,TEN,28,31,3,0.0
20011015,WAS,DAL,7,9,3,1.0
20011018,BUF,JAX,13,10,9,1.0
20011021,ATL,NOR,20,13,8,1.0
20011021,BAL,CLE,14,24,-7.5,0.0
20011021,CAR,WAS,14,17,-3.5,0.0
20011021,CHI,CIN,24,0,1,1.0
20011021,DEN,SDG,10,27,-2.5,0.0
20011021,GNB,MIN,13,35,-3,0.0
20011021,KAN,ARI,16,24,-2,0.0
20011021,NWE,IND,38,17,10.5,1.0
20011021,PIT,TAM,17,10,5,1.0
20011021,STL,NYJ,34,14,-7,1.0
20011021,TEN,DET,27,24,-5.5,0.0
20011022,PHI,NYG,10,9,3,1.0
20011025,IND,KAN,35,28,-3,1.0
20011028,ARI,DAL,3,17,-3,0.0
20011028,BUF,SDG,24,27,7.5,1.0
20011028,CIN,DET,31,27,3,1.0
20011028,JAX,BAL,17,18,7.5,1.0
20011028,MIA,SEA,24,20,-2.5,1.0
20011028,MIN,TAM,14,41,3,0.0
20011028,NOR,STL,34,31,12,1.0
20011028,NWE,DEN,20,31,7,0.0
20011028,NYG,WAS,21,35,-7.5,0.0
20011028,NYJ,CAR,13,12,-2.5,0.0
20011028,OAK,PHI,20,10,1,1.0
20011028,SFO,CHI,31,37,2,0.0
20011029,TEN,PIT,7,34,3,0.0
20011104,BAL,PIT,13,10,2,1.0
20011104,CAR,MIA,6,23,10,0.0
20011104,CLE,CHI,21,27,4.5,0.0
20011104,DAL,NYG,24,27,10.5,1.0
20011104,DET,SFO,13,21,8.5,1.0
20011104,IND,BUF,30,14,-3,1.0
20011104,JAX,TEN,24,28,3,0.0
20011104,KAN,SDG,25,20,5.5,1.0
20011104,NWE,ATL,24,10,3,1.0
20011104,NYJ,NOR,16,9,6.5,1.0
20011104,PHI,ARI,21,7,-7,1.0
20011104,SEA,WAS,14,27,-2.5,0.0
20011104,TAM,GNB,20,21,5,1.0
20011105,DEN,OAK,28,38,5.5,0.0
20011111,BUF,NWE,11,21,6,0.0
20011111,CAR,STL,14,48,18,0.0
20011111,CIN,JAX,13,30,4,0.0
20011111,DAL,ATL,13,20,6,0.0
20011111,GNB,CHI,20,12,-2.5,1.0
20011111,KAN,NYJ,7,27,4.5,0.0
20011111,MIA,IND,27,24,3,1.0
20011111,MIN,PHI,17,48,4.5,0.0
20011111,NOR,SFO,27,28,3,1.0
20011111,NYG,ARI,17,10,-5.5,1.0
20011111,OAK,SEA,27,34,-6,0.0
20011111,PIT,CLE,15,12,-3,0.0
20011111,SDG,DEN,16,26,5.5,0.0
20011111,TAM,DET,20,17,-5,0.0
20011112,BAL,TEN,16,10,-1.5,1.0
20011118,ATL,GNB,23,20,10,1.0
20011118,CHI,TAM,27,24,5,1.0
20011118,CLE,BAL,27,17,8,1.0
20011118,DET,ARI,38,45,2,0.0
20011118,IND,NOR,20,34,5.5,0.0
20011118,JAX,PIT,7,20,5.5,0.0
20011118,NYJ,MIA,24,0,5.5,1.0
20011118,PHI,DAL,36,3,-7,1.0
20011118,SDG,OAK,24,34,9,0.0
20011118,SEA,BUF,23,20,-3.5,0.0
20011118,SFO,CAR,25,22,-7,0.0
20011118,STL,NWE,24,17,-8.5,0.0
20011118,TEN,CIN,20,7,1.5,1.0
20011118,WAS,DEN,17,10,8.5,1.0
20011119,NYG,MIN,16,28,2,0.0
20011122,DEN,DAL,26,24,-7,0.0
20011122,GNB,DET,29,27,-7,0.0
20011125,ARI,SDG,20,17,7,1.0
20011125,ATL,CAR,10,7,-3,0.0
20011125,BAL,JAX,24,21,-3,0.0
20011125,CHI,MIN,13,6,3,1.0
20011125,CIN,CLE,0,18,6,0.0
20011125,MIA,BUF,34,27,-5,1.0
20011125,NOR,NWE,17,34,0,0.0
20011125,OAK,NYG,28,10,-2.5,1.0
20011125,PIT,TEN,34,24,2,1.0
20011125,SEA,KAN,7,19,1.5,0.0
20011125,SFO,IND,40,21,2.5,1.0
20011125,WAS,PHI,13,3,8,1.0
20011126,TAM,STL,24,17,9.5,1.0
20011129,PHI,KAN,23,10,-3,1.0
20011202,ARI,OAK,34,31,13,1.0
20011202,BUF,SFO,0,35,8.5,0.0
20011202,CAR,NOR,23,27,10,1.0
20011202,DAL,WAS,20,14,8.5,1.0
20011202,DEN,MIA,10,21,3,0.0
20011202,DET,CHI,10,13,7,1.0
20011202,IND,BAL,27,39,7,0.0
20011202,MIN,PIT,16,21,7,1.0
20011202,NWE,NYJ,17,16,3,1.0
20011202,SDG,SEA,10,13,3,0.0
20011202,STL,ATL,35,6,-8,1.0
20011202,TAM,CIN,16,13,-5,0.0
20011202,TEN,CLE,31,15,1.5,1.0
20011203,GNB,JAX,28,21,-3,1.0
20011209,CAR,BUF,24,25,3.5,1.0
20011209,CHI,GNB,7,17,5.5,0.0
20011209,CLE,NWE,16,27,5,0.0
20011209,DET,TAM,12,15,8,1.0
20011209,JAX,CIN,14,10,1,1.0
20011209,KAN,OAK,26,28,9,1.0
20011209,NOR,ATL,28,10,-3,1.0
20011209,NYG,DAL,13,20,-3.5,0.0
20011209,NYJ,PIT,7,18,3.5,0.0
20011209,SDG,PHI,14,24,7,0.0
20011209,SEA,DEN,7,20,6,0.0
20011209,SFO,STL,14,27,7,0.0
20011209,TEN,MIN,24,42,-2.5,0.0
20011209,WAS,ARI,20,10,2,1.0
20011210,IND,MIA,6,41,5,0.0
20011215,ARI,NYG,13,17,5,1.0
20011215,OAK,SDG,13,6,-4,1.0
20011216,ATL,IND,27,41,4,0.0
20011216,CIN,NYJ,14,15,8.5,1.0
20011216,DAL,SEA,3,29,5.5,0.0
20011216,DEN,KAN,23,26,-2.5,0.0
20011216,GNB,TEN,20,26,-2.5,0.0
20011216,JAX,CLE,15,10,2,1.0
20011216,MIA,SFO,0,21,3.5,0.0
20011216,MIN,DET,24,27,-3,0.0
20011216,NWE,BUF,12,9,-4,0.0
20011216,PHI,WAS,20,6,-2.5,1.0
20011216,PIT,BAL,26,21,3,1.0
20011216,TAM,CHI,3,27,2.5,0.0
20011217,STL,NOR,34,21,-6,1.0
20011222,MIA,NWE,13,20,3,0.0
20011222,PHI,SFO,3,13,3,0.0
20011222,TEN,OAK,13,10,6,1.0
20011223,BUF,ATL,30,33,4,1.0
20011223,CHI,WAS,20,15,1,1.0
20011223,CIN,BAL,0,16,10.5,0.0
20011223,CLE,GNB,7,30,7.5,0.0
20011223,DAL,ARI,10,17,3.5,0.0
20011223,DET,PIT,14,47,10,0.0
20011223,JAX,MIN,33,3,2.5,1.0
20011223,NOR,TAM,21,48,2.5,0.0
20011223,NYJ,IND,29,28,1,1.0
20011223,SDG,KAN,17,20,3.5,1.0
20011223,SEA,NYG,24,27,3,0.0
20011223,STL,CAR,38,32,-12.5,0.0
20011229,BAL,TAM,10,22,1.5,0.0
20011230,ARI,CAR,30,7,1,1.0
20011230,ATL,MIA,14,21,7,0.0
20011230,BUF,NYJ,14,9,7,1.0
20011230,CHI,DET,24,0,-5.5,1.0
20011230,CLE,TEN,41,38,5,1.0
20011230,IND,STL,17,42,13,0.0
20011230,KAN,JAX,30,26,4.5,1.0
